combination_id,list_of_advanced_third_placed_teams,1A,1B,1D,1E,1G,1I,1K,1L
C001,"['E', 'F', 'G', 'H', 'I', 'J', 'K', 'L']",3E,3J,3I,3F,3H,3G,3L,3K
C002,"['D', 'F', 'G', 'H', 'I', 'J', 'K', 'L']",3H,3G,3I,3D,3J,3F,3L,3K
C003,"['D', 'E', 'G', 'H', 'I', 'J', 'K', 'L']",3E,3J,3I,3D,3H,3G,3L,3K
C004,"['D', 'E', 'F', 'H', 'I', 'J', 'K', 'L']",3E,3J,3I,3D,3H,3F,3L,3K
C005,"['D', 'E', 'F', 'G', 'I', 'J', 'K', 'L']",3E,3G,3I,3D,3J,3F,3L,3K
C006,"['D', 'E', 'F', 'G', 'H', 'J', 'K', 'L']",3E,3G,3J,3D,3H,3F,3L,3K
C007,"['D', 'E', 'F', 'G', 'H', 'I', 'K', 'L']",3E,3G,3I,3D,3H,3F,3L,3K
C008,"['D', 'E', 'F', 'G', 'H', 'I', 'J', 'L']",3E,3G,3J,3D,3H,3F,3L,3I
C009,"['D', 'E', 'F', 'G', 'H', 'I', 'J', 'K']",3E,3G,3J,3D,3H,3F,3I,3K
C010,"['C', 'F', 'G', 'H', 'I', 'J', 'K', 'L']",3H,3G,3I,3C,3J,3F,3L,3K
C011,"['C', 'E', 'G', 'H', 'I', 'J', 'K', 'L']",3E,3J,3I,3C,3H,3G,3L,3K
C012,"['C', 'E', 'F', 'H', 'I', 'J', 'K', 'L']",3E,3J,3I,3C,3H,3F,3L,3K
C013,"['C', 'E', 'F', 'G', 'I', 'J', 'K', 'L']",3E,3G,3I,3C,3J,3F,3L,3K
C014,"['C', 'E', 'F', 'G', 'H', 'J', 'K', 'L']",3E,3G,3J,3C,3H,3F,3L,3K
C015,"['C', 'E', 'F', 'G', 'H', 'I', 'K', 'L']",3E,3G,3I,3C,3H,3F,3L,3K
C016,"['C', 'E', 'F', 'G', 'H', 'I', 'J', 'L']",3E,3G,3J,3C,3H,3F,3L,3I
C017,"['C', 'E', 'F', 'G', 'H', 'I', 'J', 'K']",3E,3G,3J,3C,3H,3F,3I,3K
C018,"['C', 'D', 'G', 'H', 'I', 'J', 'K', 'L']",3H,3G,3I,3C,3J,3D,3L,3K
C019,"['C', 'D', 'F', 'H', 'I', 'J', 'K', 'L']",3C,3J,3I,3D,3H,3F,3L,3K
C020,"['C', 'D', 'F', 'G', 'I', 'J', 'K', 'L']",3C,3G,3I,3D,3J,3F,3L,3K
C021,"['C', 'D', 'F', 'G', 'H', 'J', 'K', 'L']",3C,3G,3J,3D,3H,3F,3L,3K
C022,"['C', 'D', 'F', 'G', 'H', 'I', 'K', 'L']",3C,3G,3I,3D,3H,3F,3L,3K
C023,"['C', 'D', 'F', 'G', 'H', 'I', 'J', 'L']",3C,3G,3J,3D,3H,3F,3L,3I
C024,"['C', 'D', 'F', 'G', 'H', 'I', 'J', 'K']",3C,3G,3J,3D,3H,3F,3I,3K
C025,"['C', 'D', 'E', 'H', 'I', 'J', 'K', 'L']",3E,3J,3I,3C,3H,3D,3L,3K
C026,"['C', 'D', 'E', 'G', 'I', 'J', 'K', 'L']",3E,3G,3I,3C,3J,3D,3L,3K
C027,"['C', 'D', 'E', 'G', 'H', 'J', 'K', 'L']",3E,3G,3J,3C,3H,3D,3L,3K
C028,"['C', 'D', 'E', 'G', 'H', 'I', 'K', 'L']",3E,3G,3I,3C,3H,3D,3L,3K
C029,"['C', 'D', 'E', 'G', 'H', 'I', 'J', 'L']",3E,3G,3J,3C,3H,3D,3L,3I
C030,"['C', 'D', 'E', 'G', 'H', 'I', 'J', 'K']",3E,3G,3J,3C,3H,3D,3I,3K
C031,"['C', 'D', 'E', 'F', 'I', 'J', 'K', 'L']",3C,3J,3E,3D,3I,3F,3L,3K
C032,"['C', 'D', 'E', 'F', 'H', 'J', 'K', 'L']",3C,3J,3E,3D,3H,3F,3L,3K
C033,"['C', 'D', 'E', 'F', 'H', 'I', 'K', 'L']",3C,3E,3I,3D,3H,3F,3L,3K
C034,"['C', 'D', 'E', 'F', 'H', 'I', 'J', 'L']",3C,3J,3E,3D,3H,3F,3L,3I
C035,"['C', 'D', 'E', 'F', 'H', 'I', 'J', 'K']",3C,3J,3E,3D,3H,3F,3I,3K
C036,"['C', 'D', 'E', 'F', 'G', 'J', 'K', 'L']",3C,3G,3E,3D,3J,3F,3L,3K
C037,"['C', 'D', 'E', 'F', 'G', 'I', 'K', 'L']",3C,3G,3E,3D,3I,3F,3L,3K
C038,"['C', 'D', 'E', 'F', 'G', 'I', 'J', 'L']",3C,3G,3E,3D,3J,3F,3L,3I
C039,"['C', 'D', 'E', 'F', 'G', 'I', 'J', 'K']",3C,3G,3E,3D,3J,3F,3I,3K
C040,"['C', 'D', 'E', 'F', 'G', 'H', 'K', 'L']",3C,3G,3E,3D,3H,3F,3L,3K
C041,"['C', 'D', 'E', 'F', 'G', 'H', 'J', 'L']",3C,3G,3J,3D,3H,3F,3L,3E
C042,"['C', 'D', 'E', 'F', 'G', 'H', 'J', 'K']",3C,3G,3J,3D,3H,3F,3E,3K
C043,"['C', 'D', 'E', 'F', 'G', 'H', 'I', 'L']",3C,3G,3E,3D,3H,3F,3L,3I
C044,"['C', 'D', 'E', 'F', 'G', 'H', 'I', 'K']",3C,3G,3E,3D,3H,3F,3I,3K
C045,"['C', 'D', 'E', 'F', 'G', 'H', 'I', 'J']",3C,3G,3J,3D,3H,3F,3E,3I
C046,"['B', 'F', 'G', 'H', 'I', 'J', 'K', 'L']",3H,3J,3B,3F,3I,3G,3L,3K
C047,"['B', 'E', 'G', 'H', 'I', 'J', 'K', 'L']",3E,3J,3I,3B,3H,3G,3L,3K
C048,"['B', 'E', 'F', 'H', 'I', 'J', 'K', 'L']",3E,3J,3B,3F,3I,3H,3L,3K
C049,"['B', 'E', 'F', 'G', 'I', 'J', 'K', 'L']",3E,3J,3B,3F,3I,3G,3L,3K
C050,"['B', 'E', 'F', 'G', 'H', 'J', 'K', 'L']",3E,3J,3B,3F,3H,3G,3L,3K
C051,"['B', 'E', 'F', 'G', 'H', 'I', 'K', 'L']",3E,3G,3B,3F,3I,3H,3L,3K
C052,"['B', 'E', 'F', 'G', 'H', 'I', 'J', 'L']",3E,3J,3B,3F,3H,3G,3L,3I
C053,"['B', 'E', 'F', 'G', 'H', 'I', 'J', 'K']",3E,3J,3B,3F,3H,3G,3I,3K
C054,"['B', 'D', 'G', 'H', 'I', 'J', 'K', 'L']",3H,3J,3B,3D,3I,3G,3L,3K
C055,"['B', 'D', 'F', 'H', 'I', 'J', 'K', 'L']",3H,3J,3B,3D,3I,3F,3L,3K
C056,"['B', 'D', 'F', 'G', 'I', 'J', 'K', 'L']",3I,3G,3B,3D,3J,3F,3L,3K
C057,"['B', 'D', 'F', 'G', 'H', 'J', 'K', 'L']",3H,3G,3B,3D,3J,3F,3L,3K
C058,"['B', 'D', 'F', 'G', 'H', 'I', 'K', 'L']",3H,3G,3B,3D,3I,3F,3L,3K
C059,"['B', 'D', 'F', 'G', 'H', 'I', 'J', 'L']",3H,3G,3B,3D,3J,3F,3L,3I
C060,"['B', 'D', 'F', 'G', 'H', 'I', 'J', 'K']",3H,3G,3B,3D,3J,3F,3I,3K
C061,"['B', 'D', 'E', 'H', 'I', 'J', 'K', 'L']",3E,3J,3B,3D,3I,3H,3L,3K
C062,"['B', 'D', 'E', 'G', 'I', 'J', 'K', 'L']",3E,3J,3B,3D,3I,3G,3L,3K
C063,"['B', 'D', 'E', 'G', 'H', 'J', 'K', 'L']",3E,3J,3B,3D,3H,3G,3L,3K
C064,"['B', 'D', 'E', 'G', 'H', 'I', 'K', 'L']",3E,3G,3B,3D,3I,3H,3L,3K
C065,"['B', 'D', 'E', 'G', 'H', 'I', 'J', 'L']",3E,3J,3B,3D,3H,3G,3L,3I
C066,"['B', 'D', 'E', 'G', 'H', 'I', 'J', 'K']",3E,3J,3B,3D,3H,3G,3I,3K
C067,"['B', 'D', 'E', 'F', 'I', 'J', 'K', 'L']",3E,3J,3B,3D,3I,3F,3L,3K
C068,"['B', 'D', 'E', 'F', 'H', 'J', 'K', 'L']",3E,3J,3B,3D,3H,3F,3L,3K
C069,"['B', 'D', 'E', 'F', 'H', 'I', 'K', 'L']",3E,3I,3B,3D,3H,3F,3L,3K
C070,"['B', 'D', 'E', 'F', 'H', 'I', 'J', 'L']",3E,3J,3B,3D,3H,3F,3L,3I
C071,"['B', 'D', 'E', 'F', 'H', 'I', 'J', 'K']",3E,3J,3B,3D,3H,3F,3I,3K
C072,"['B', 'D', 'E', 'F', 'G', 'J', 'K', 'L']",3E,3G,3B,3D,3J,3F,3L,3K
C073,"['B', 'D', 'E', 'F', 'G', 'I', 'K', 'L']",3E,3G,3B,3D,3I,3F,3L,3K
C074,"['B', 'D', 'E', 'F', 'G', 'I', 'J', 'L']",3E,3G,3B,3D,3J,3F,3L,3I
C075,"['B', 'D', 'E', 'F', 'G', 'I', 'J', 'K']",3E,3G,3B,3D,3J,3F,3I,3K
C076,"['B', 'D', 'E', 'F', 'G', 'H', 'K', 'L']",3E,3G,3B,3D,3H,3F,3L,3K
C077,"['B', 'D', 'E', 'F', 'G', 'H', 'J', 'L']",3H,3G,3B,3D,3J,3F,3L,3E
C078,"['B', 'D', 'E', 'F', 'G', 'H', 'J', 'K']",3H,3G,3B,3D,3J,3F,3E,3K
C079,"['B', 'D', 'E', 'F', 'G', 'H', 'I', 'L']",3E,3G,3B,3D,3H,3F,3L,3I
C080,"['B', 'D', 'E', 'F', 'G', 'H', 'I', 'K']",3E,3G,3B,3D,3H,3F,3I,3K
C081,"['B', 'D', 'E', 'F', 'G', 'H', 'I', 'J']",3H,3G,3B,3D,3J,3F,3E,3I
C082,"['B', 'C', 'G', 'H', 'I', 'J', 'K', 'L']",3H,3J,3B,3C,3I,3G,3L,3K
C083,"['B', 'C', 'F', 'H', 'I', 'J', 'K', 'L']",3H,3J,3B,3C,3I,3F,3L,3K
C084,"['B', 'C', 'F', 'G', 'I', 'J', 'K', 'L']",3I,3G,3B,3C,3J,3F,3L,3K
C085,"['B', 'C', 'F', 'G', 'H', 'J', 'K', 'L']",3H,3G,3B,3C,3J,3F,3L,3K
C086,"['B', 'C', 'F', 'G', 'H', 'I', 'K', 'L']",3H,3G,3B,3C,3I,3F,3L,3K
C087,"['B', 'C', 'F', 'G', 'H', 'I', 'J', 'L']",3H,3G,3B,3C,3J,3F,3L,3I
C088,"['B', 'C', 'F', 'G', 'H', 'I', 'J', 'K']",3H,3G,3B,3C,3J,3F,3I,3K
C089,"['B', 'C', 'E', 'H', 'I', 'J', 'K', 'L']",3E,3J,3B,3C,3I,3H,3L,3K
C090,"['B', 'C', 'E', 'G', 'I', 'J', 'K', 'L']",3E,3J,3B,3C,3I,3G,3L,3K
C091,"['B', 'C', 'E', 'G', 'H', 'J', 'K', 'L']",3E,3J,3B,3C,3H,3G,3L,3K
C092,"['B', 'C', 'E', 'G', 'H', 'I', 'K', 'L']",3E,3G,3B,3C,3I,3H,3L,3K
C093,"['B', 'C', 'E', 'G', 'H', 'I', 'J', 'L']",3E,3J,3B,3C,3H,3G,3L,3I
C094,"['B', 'C', 'E', 'G', 'H', 'I', 'J', 'K']",3E,3J,3B,3C,3H,3G,3I,3K
C095,"['B', 'C', 'E', 'F', 'I', 'J', 'K', 'L']",3E,3J,3B,3C,3I,3F,3L,3K
C096,"['B', 'C', 'E', 'F', 'H', 'J', 'K', 'L']",3E,3J,3B,3C,3H,3F,3L,3K
C097,"['B', 'C', 'E', 'F', 'H', 'I', 'K', 'L']",3E,3I,3B,3C,3H,3F,3L,3K
C098,"['B', 'C', 'E', 'F', 'H', 'I', 'J', 'L']",3E,3J,3B,3C,3H,3F,3L,3I
C099,"['B', 'C', 'E', 'F', 'H', 'I', 'J', 'K']",3E,3J,3B,3C,3H,3F,3I,3K
C100,"['B', 'C', 'E', 'F', 'G', 'J', 'K', 'L']",3E,3G,3B,3C,3J,3F,3L,3K
C101,"['B', 'C', 'E', 'F', 'G', 'I', 'K', 'L']",3E,3G,3B,3C,3I,3F,3L,3K
C102,"['B', 'C', 'E', 'F', 'G', 'I', 'J', 'L']",3E,3G,3B,3C,3J,3F,3L,3I
C103,"['B', 'C', 'E', 'F', 'G', 'I', 'J', 'K']",3E,3G,3B,3C,3J,3F,3I,3K
C104,"['B', 'C', 'E', 'F', 'G', 'H', 'K', 'L']",3E,3G,3B,3C,3H,3F,3L,3K
C105,"['B', 'C', 'E', 'F', 'G', 'H', 'J', 'L']",3H,3G,3B,3C,3J,3F,3L,3E
C106,"['B', 'C', 'E', 'F', 'G', 'H', 'J', 'K']",3H,3G,3B,3C,3J,3F,3E,3K
C107,"['B', 'C', 'E', 'F', 'G', 'H', 'I', 'L']",3E,3G,3B,3C,3H,3F,3L,3I
C108,"['B', 'C', 'E', 'F', 'G', 'H', 'I', 'K']",3E,3G,3B,3C,3H,3F,3I,3K
C109,"['B', 'C', 'E', 'F', 'G', 'H', 'I', 'J']",3H,3G,3B,3C,3J,3F,3E,3I
C110,"['B', 'C', 'D', 'H', 'I', 'J', 'K', 'L']",3H,3J,3B,3C,3I,3D,3L,3K
C111,"['B', 'C', 'D', 'G', 'I', 'J', 'K', 'L']",3I,3G,3B,3C,3J,3D,3L,3K
C112,"['B', 'C', 'D', 'G', 'H', 'J', 'K', 'L']",3H,3G,3B,3C,3J,3D,3L,3K
C113,"['B', 'C', 'D', 'G', 'H', 'I', 'K', 'L']",3H,3G,3B,3C,3I,3D,3L,3K
C114,"['B', 'C', 'D', 'G', 'H', 'I', 'J', 'L']",3H,3G,3B,3C,3J,3D,3L,3I
C115,"['B', 'C', 'D', 'G', 'H', 'I', 'J', 'K']",3H,3G,3B,3C,3J,3D,3I,3K
C116,"['B', 'C', 'D', 'F', 'I', 'J', 'K', 'L']",3C,3J,3B,3D,3I,3F,3L,3K
C117,"['B', 'C', 'D', 'F', 'H', 'J', 'K', 'L']",3C,3J,3B,3D,3H,3F,3L,3K
C118,"['B', 'C', 'D', 'F', 'H', 'I', 'K', 'L']",3C,3I,3B,3D,3H,3F,3L,3K
C119,"['B', 'C', 'D', 'F', 'H', 'I', 'J', 'L']",3C,3J,3B,3D,3H,3F,3L,3I
C120,"['B', 'C', 'D', 'F', 'H', 'I', 'J', 'K']",3C,3J,3B,3D,3H,3F,3I,3K
C121,"['B', 'C', 'D', 'F', 'G', 'J', 'K', 'L']",3C,3G,3B,3D,3J,3F,3L,3K
C122,"['B', 'C', 'D', 'F', 'G', 'I', 'K', 'L']",3C,3G,3B,3D,3I,3F,3L,3K
C123,"['B', 'C', 'D', 'F', 'G', 'I', 'J', 'L']",3C,3G,3B,3D,3J,3F,3L,3I
C124,"['B', 'C', 'D', 'F', 'G', 'I', 'J', 'K']",3C,3G,3B,3D,3J,3F,3I,3K
C125,"['B', 'C', 'D', 'F', 'G', 'H', 'K', 'L']",3C,3G,3B,3D,3H,3F,3L,3K
C126,"['B', 'C', 'D', 'F', 'G', 'H', 'J', 'L']",3C,3G,3B,3D,3H,3F,3L,3J
C127,"['B', 'C', 'D', 'F', 'G', 'H', 'J', 'K']",3H,3G,3B,3C,3J,3F,3D,3K
C128,"['B', 'C', 'D', 'F', 'G', 'H', 'I', 'L']",3C,3G,3B,3D,3H,3F,3L,3I
C129,"['B', 'C', 'D', 'F', 'G', 'H', 'I', 'K']",3C,3G,3B,3D,3H,3F,3I,3K
C130,"['B', 'C', 'D', 'F', 'G', 'H', 'I', 'J']",3H,3G,3B,3C,3J,3F,3D,3I
C131,"['B', 'C', 'D', 'E', 'I', 'J', 'K', 'L']",3E,3J,3B,3C,3I,3D,3L,3K
C132,"['B', 'C', 'D', 'E', 'H', 'J', 'K', 'L']",3E,3J,3B,3C,3H,3D,3L,3K
C133,"['B', 'C', 'D', 'E', 'H', 'I', 'K', 'L']",3E,3I,3B,3C,3H,3D,3L,3K
C134,"['B', 'C', 'D', 'E', 'H', 'I', 'J', 'L']",3E,3J,3B,3C,3H,3D,3L,3I
C135,"['B', 'C', 'D', 'E', 'H', 'I', 'J', 'K']",3E,3J,3B,3C,3H,3D,3I,3K
C136,"['B', 'C', 'D', 'E', 'G', 'J', 'K', 'L']",3E,3G,3B,3C,3J,3D,3L,3K
C137,"['B', 'C', 'D', 'E', 'G', 'I', 'K', 'L']",3E,3G,3B,3C,3I,3D,3L,3K
